label,f1_baseline,support_baseline,precision_baseline,recall_baseline,pr_auc_baseline,f1_transformer,support_transformer,precision_transformer,recall_transformer,pr_auc_transformer,f1_improvement
label_4,0.9934640522875817,76,0.987012987012987,1.0,0.9929927312799268,0.9934640522875817,76.0,0.987012987012987,1.0,0.954901308706883,0.0
label_2,0.9868421052631579,75,0.974025974025974,1.0,0.9960224474387369,0.9868421052631579,75.0,0.974025974025974,1.0,0.9875664892586957,0.0
label_9,0.9868421052631579,75,0.974025974025974,1.0,0.9937993946086331,0.9868421052631579,75.0,0.974025974025974,1.0,0.9855134271000481,0.0
label_15,0.9664429530201343,72,0.935064935064935,1.0,0.9968298029171734,0.9664429530201343,72.0,0.935064935064935,1.0,0.955881319375874,0.0
label_10,0.9664429530201343,72,0.935064935064935,1.0,0.9952497412840435,0.9664429530201343,72.0,0.935064935064935,1.0,0.992581126655216,0.0
label_43,0.9594594594594594,71,0.922077922077922,1.0,0.997313333288637,0.9594594594594594,71.0,0.922077922077922,1.0,0.8219070674217318,0.0
label_28,0.9594594594594594,71,0.922077922077922,1.0,0.9969876617076072,0.9594594594594594,71.0,0.922077922077922,1.0,0.9633637274296084,0.0
label_33,0.9523809523809523,70,0.9090909090909091,1.0,0.990228191783712,0.9523809523809523,70.0,0.9090909090909091,1.0,0.9256672786523926,0.0
label_18,0.9523809523809523,70,0.9090909090909091,1.0,0.9991775877527984,0.9523809523809523,70.0,0.9090909090909091,1.0,0.8804246721822718,0.0
label_8,0.9452054794520548,69,0.8961038961038961,1.0,0.9835654929138358,0.9452054794520548,69.0,0.8961038961038961,1.0,0.9332309606370419,0.0
label_29,0.9452054794520548,69,0.8961038961038961,1.0,0.9950416931331425,0.9452054794520548,69.0,0.8961038961038961,1.0,0.9451438521923868,0.0
label_30,0.9379310344827586,68,0.8831168831168831,1.0,0.9947411588456183,0.9379310344827586,68.0,0.8831168831168831,1.0,0.9732829707623181,0.0
label_20,0.9230769230769231,66,0.8571428571428571,1.0,0.9783581108925619,0.9230769230769231,66.0,0.8571428571428571,1.0,0.9560272601985109,0.0
label_48,0.9230769230769231,66,0.8571428571428571,1.0,0.9953402459468637,0.9230769230769231,66.0,0.8571428571428571,1.0,0.9665208768273703,0.0
label_6,0.9230769230769231,66,0.8571428571428571,1.0,0.9922038438362824,0.9230769230769231,66.0,0.8571428571428571,1.0,0.9343467342639848,0.0
label_12,0.9154929577464789,65,0.8441558441558441,1.0,0.9938041225723411,0.9154929577464789,65.0,0.8441558441558441,1.0,0.945974271260219,0.0
label_44,0.9078014184397163,64,0.8311688311688312,1.0,0.9820810864143448,0.9078014184397163,64.0,0.8311688311688312,1.0,0.8902224245669762,0.0
label_35,0.9078014184397163,64,0.8311688311688312,1.0,0.9939246056333758,0.9078014184397163,64.0,0.8311688311688312,1.0,0.8813251942567274,0.0
label_23,0.9078014184397163,64,0.8311688311688312,1.0,0.991694956242917,0.9078014184397163,64.0,0.8311688311688312,1.0,0.8935090287590038,0.0
label_11,0.9078014184397163,64,0.8311688311688312,1.0,0.9949312376439619,0.9078014184397163,64.0,0.8311688311688312,1.0,0.959786101683842,0.0
label_7,0.9,63,0.8181818181818182,1.0,0.969903267662142,0.9,63.0,0.8181818181818182,1.0,0.9479860180322353,0.0
label_3,0.9,63,0.8181818181818182,1.0,0.9886508129615097,0.9,63.0,0.8181818181818182,1.0,0.9011681610787224,0.0
label_26,0.9,63,0.8181818181818182,1.0,0.9917983320056138,0.9,63.0,0.8181818181818182,1.0,0.7889200555966667,0.0
